StrNumber|106|Name|EDIFICIO MULTIFAMILIAR LA PAZ|item.StockingLocationID|8992dcb0-2113-4b3a-b0ce-4978f913e33b
StrNumber|107|Name|EDIFICIO MULTIFAMILIAR GRAU|item.StockingLocationID|2983f6aa-0d84-4962-beb4-7cbb419a87c0
StrNumber|108|Name|EDIFICIO MULTIFAMILIAR DUPLO|item.StockingLocationID|4416853c-5acd-4f03-b253-5e364ea4a8cd
StrNumber|109|Name|EDIFICIO MULTIFAMILI.MONTAGNE|item.StockingLocationID|1f3cc08a-1135-4583-8c97-6dcc8db792d8
StrNumber|110|Name|EDIFICIO LOS FAISANES|item.StockingLocationID|d00bd06f-3cca-4f23-9d23-1b8fea0c16f1
StrNumber|111|Name|EDIFICIO LA MAR SOTANOS|item.StockingLocationID|91bd3431-2d24-471f-b714-59a7206f6f81
StrNumber|112|Name|EDIFICIO CASTAÑOS MURO PANTALL|item.StockingLocationID|875986d9-48be-4eea-9e93-32019d5ebe87
StrNumber|113|Name|EDIFICIO BELLO HORIZONTE SOUTH|item.StockingLocationID|b7579f49-e678-4585-92bd-7510c03aab07
StrNumber|114|Name|EDIFICIO BASADRE|item.StockingLocationID|ef97ebf5-f47e-425a-9543-5b1fb83b0d4b
StrNumber|115|Name|EDIFICIO ALTOS DEL BOSQUE|item.StockingLocationID|e8697b87-0b6f-4ee0-90db-34f3e567b5a4
StrNumber|116|Name|EDIF. LA MAR MURO PANTALLA|item.StockingLocationID|66bfe9ce-bb19-4b05-98d0-16a8dc1ed7ad
StrNumber|117|Name|ED.R.BERTOLOTTO MURO PANTALLA|item.StockingLocationID|394419db-4946-4110-84be-f45d8089b7c6
StrNumber|118|Name|ED.MULTIFAMILI DIANA|item.StockingLocationID|b5d4e500-df2c-4f31-a4f6-25fa224ec5eb
StrNumber|119|Name|ED.JAVIER PRADO 2DA ETAPA|item.StockingLocationID|3aec9437-f19b-4cd9-894b-467c3ce620bb
StrNumber|120|Name|ED.COORPORATIVO ANDRES REYES|item.StockingLocationID|745ececa-92d0-43bb-875a-72caccb742ff
StrNumber|121|Name|ED.CERROS DE CAMACHO II|item.StockingLocationID|717139cd-b346-4892-b96c-e7b0c718cf88
